,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
235,24/08/2019,23°C/31°C,23°C/30°C,22°C/30°C,22°C/30°C,22°C/30°C
236,25/08/2019,28°C/37°C,27°C/34°C,26°C/35°C,26°C/35°C,27°C/34°C
237,26/08/2019,28°C/33°C,27°C/33°C,25°C/32°C,25°C/32°C,27°C/33°C
238,27/08/2019,26°C/34°C,26°C/33°C,25°C/33°C,25°C/33°C,26°C/33°C
239,28/08/2019,24°C/28°C,22°C/26°C,22°C/28°C,22°C/28°C,23°C/27°C
240,29/08/2019,21°C/26°C,19°C/24°C,21°C/26°C,21°C/26°C,19°C/24°C
241,30/08/2019,23°C/28°C,22°C/27°C,20°C/28°C,20°C/28°C,21°C/27°C
242,31/08/2019,23°C/30°C,23°C/29°C,23°C/31°C,23°C/31°C,23°C/29°C
243,01/09/2019,19°C/23°C,17°C/22°C,17°C/23°C,17°C/23°C,17°C/22°C
244,02/09/2019,18°C/24°C,16°C/22°C,17°C/23°C,17°C/23°C,16°C/23°C
245,03/09/2019,19°C/25°C,18°C/24°C,19°C/25°C,19°C/25°C,17°C/23°C
246,04/09/2019,19°C/23°C,15°C/22°C,19°C/23°C,19°C/23°C,18°C/23°C
247,05/09/2019,16°C/19°C,15°C/19°C,16°C/19°C,16°C/19°C,15°C/19°C
248,06/09/2019,16°C/22°C,14°C/21°C,14°C/21°C,14°C/21°C,14°C/21°C
249,07/09/2019,16°C/20°C,15°C/19°C,14°C/20°C,14°C/20°C,16°C/19°C
250,08/09/2019,14°C/19°C,14°C/17°C,14°C/18°C,14°C/18°C,13°C/18°C
251,09/09/2019,13°C/19°C,13°C/17°C,12°C/19°C,12°C/19°C,14°C/18°C
252,10/09/2019,16°C/23°C,16°C/22°C,16°C/22°C,16°C/22°C,16°C/22°C
253,11/09/2019,17°C/23°C,16°C/22°C,16°C/23°C,16°C/23°C,16°C/21°C
254,12/09/2019,18°C/24°C,17°C/23°C,19°C/24°C,19°C/24°C,18°C/23°C
255,13/09/2019,19°C/25°C,19°C/24°C,18°C/25°C,18°C/25°C,19°C/24°C
256,14/09/2019,19°C/28°C,18°C/27°C,19°C/26°C,19°C/26°C,17°C/26°C
